country,membership,p_member,o_member
Albania,Associate Member,3,
Algeria,Full Member,1,1
Argentina,Full Member,3,18
Australia,Full Member,78,48
Austria,Full Member,104,64
Bahrain,Associate Member,,
Belarus,Full Member,3,89
Belgium,Full Member,114,59
Bosnia & Herzegovina,Associate Member,,
Brazil,Full Member,49,70
Bulgaria,Full Member,4,140
Canada,Full Member,98,15
Chile,Full Member,,3
China,Full Member,179,
Colombia,Full Member,2,8
Croatia,Full Member,13,64
Cuba,Associate Member,1,
Cyprus,Associate Member,1,
Czech Republic,Full Member,69,109
Democratic People's Republic of Korea,Associate Member,3,
Denmark,Full Member,113,60
Egypt,Full Member,63,30
Estonia,Associate Member,3,
Finland,Full Member,124,49
France,Full Member,159,21
Georgia,Associate Member,4,
Germany,Full Member,179,1
Greece,Full Member,11,92
Hungary,Full Member,29,112
Iceland,Associate Member,1,
India,Full Member,87,73
Indonesia,Full Member,22,41
Iran,Full Member,32,85
Iraq,Full Member,6,1
Ireland,Full Member,46,73
Israel,Full Member,39,59
Italy,Full Member,157,23
Japan,Full Member,178,2
Jordan,Associate Member,3,
Kazakhstan,Associate Member,3,
Kenya,Associate Member,3,
"Korea, Republic of",Full Member,138,34
Kuwait,Full Member,,6
Latvia,Associate Member,,
Lithuania,Associate Member,,
Luxembourg,Full Member,4,4
Malaysia,Full Member,37,58
Malta,Associate Member,1,
Mexico,Full Member,30,61
Moldova,Associate Member,,
Montenegro,Associate Member,,
Morocco,Associate Member,4,
Netherlands,Full Member,126,35
New Zealand,Full Member,17,102
Nigeria,Full Member,2,
Norway,Full Member,87,80
Oman,Full Member,2,25
Pakistan,Full Member,48,23
Peru,Full Member,,
"Philippines, Rep. of the",Full Member,7,25
Poland,Full Member,48,128
Portugal,Full Member,51,76
Qatar,Full Member,,1
Romania,Full Member,43,120
Russian Federation,Full Member,132,45
Saudi Arabia,Full Member,6,22
Serbia,Full Member,24,121
Singapore,Full Member,16,59
Slovakia,Full Member,11,86
Slovenia,Full Member,19,73
South Africa,Full Member,71,62
Spain,Full Member,117,61
Sri Lanka,Associate Member,4,
Sweden,Full Member,134,43
Switzerland,Full Member,133,28
Thailand,Full Member,24,56
The Former Yugoslav Rep. of Macedonia,Associate Member,2,
Tunisia,Associate Member,4,
Turkey,Full Member,31,68
Ukraine,Full Member,22,133
United Arab Emirates,Full Member,,
United Kingdom,Full Member,174,5
United States of America,Full Member,167,
Vietnam,Associate Member,3,
